código,descriptor_es,descriptor_en
9014/34,"Adenocarcinofibroma seroso - grado IV, indiferenciado","Serous adenocarcinofibroma - grade IV, undifferentiated"
9014/39,"Adenocarcinofibroma seroso - grado o diferenciación sin determinar o sin asignar, o no procede","Serous adenocarcinofibroma - grade or differentiation not determined or not assigned, or not applicable"
9014/6,"Adenocarcinofibroma seroso, metástasis","Serous adenocarcinofibroma, metastasis"
9015/0,"Adenofibroma mucinoso, NEOM","Mucinous adenofibroma, NOS"
9015/1,Adenofibroma mucinoso de malignidad borderline,Mucinous adenofibroma of borderline malignancy
9015/3,Adenocarcinofibroma mucinoso,Mucinous adenocarcinofibroma
9015/31,"Adenocarcinofibroma mucinoso - grado I, bien diferenciado","Mucinous adenocarcinofibroma - grade I, well differentiated"
9015/32,"Adenocarcinofibroma mucinoso - grado II, moderadamente diferenciado","Mucinous adenocarcinofibroma - grade II, moderately differentiated"
9015/33,"Adenocarcinofibroma mucinoso - grado III, pobremente diferenciado","Mucinous adenocarcinofibroma - grade III, poorly differentiated"
9015/34,"Adenocarcinofibroma mucinoso - grado IV, indiferenciado","Mucinous adenocarcinofibroma - grade IV, undifferentiated"
9015/39,"Adenocarcinofibroma mucinoso - grado o diferenciación sin determinar o sin asignar, o no procede","Mucinous adenocarcinofibroma - grade or differentiation not determined or not assigned, or not applicable"
9015/6,"Adenocarcinofibroma mucinoso, metástasis","Mucinous adenocarcinofibroma, metastasis"
9016/0,Fibroadenoma gigante,Giant fibroadenoma
9020/0,"Tumor filoides, benigno","Phyllodes tumor, benign"
9020/1,"Tumor filoides, borderline","Phyllodes tumor, borderline"
9020/3,"Tumor filoides, maligno","Phyllodes tumor, malignant"
9020/31,"Tumor filoides, maligno - grado I, bien diferenciado","Phyllodes tumor, malignant - grade I, well differentiated"
9020/32,"Tumor filoides, maligno - grado II, moderadamente diferenciado","Phyllodes tumor, malignant - grade II, moderately differentiated"
9020/33,"Tumor filoides, maligno - grado III, pobremente diferenciado","Phyllodes tumor, malignant - grade III, poorly differentiated"
9020/34,"Tumor filoides, maligno - grado IV, indiferenciado","Phyllodes tumor, malignant - grade IV, undifferentiated"
9020/39,"Tumor filoides, maligno - grado o diferenciación sin determinar o sin asignar, o no procede","Phyllodes tumor, malignant - grade or differentiation not determined or not assigned, or not applicable"
9020/6,"Tumor filoides, maligno, metástasis","Phyllodes tumor, malignant, metastasis"
9030/0,Fibroadenoma juvenil,Juvenile fibroadenoma
9040/0,"Sinovioma, benigno","Synovioma, benign"
9040/3,"Sarcoma sinovial, NEOM","Synovial sarcoma, NOS"
9040/31,"Sarcoma sinovial, NEOM - grado I, bien diferenciado","Synovial sarcoma, NOS - grade I, well differentiated"
9040/32,"Sarcoma sinovial, NEOM - grado II, moderadamente diferenciado","Synovial sarcoma, NOS - grade II, moderately differentiated"
9040/33,"Sarcoma sinovial, NEOM - grado III, pobremente diferenciado","Synovial sarcoma, NOS - grade III, poorly differentiated"
9040/34,"Sarcoma sinovial, NEOM - grado IV, indiferenciado","Synovial sarcoma, NOS - grade IV, undifferentiated"
9040/39,"Sarcoma sinovial, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Synovial sarcoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
9040/6,"Sarcoma sinovial, NEOM, metástasis","Synovial sarcoma, NOS, metastasis"
9041/3,"Sarcoma sinovial, células fusiformes","Synovial sarcoma, spindle cell"
9041/31,"Sarcoma sinovial, células fusiformes - grado I, bien diferenciado","Synovial sarcoma, spindle cell - grade I, well differentiated"
9041/32,"Sarcoma sinovial, células fusiformes - grado II, moderadamente diferenciado","Synovial sarcoma, spindle cell - grade II, moderately differentiated"
9041/33,"Sarcoma sinovial, células fusiformes - grado III, pobremente diferenciado","Synovial sarcoma, spindle cell - grade III, poorly differentiated"
9041/34,"Sarcoma sinovial, células fusiformes - grado IV, indiferenciado","Synovial sarcoma, spindle cell - grade IV, undifferentiated"
9041/39,"Sarcoma sinovial, células fusiformes - grado o diferenciación sin determinar o sin asignar, o no procede","Synovial sarcoma, spindle cell - grade or differentiation not determined or not assigned, or not applicable"
9041/6,"Sarcoma sinovial, células fusiformes, metástasis","Synovial sarcoma, spindle cell, metastasis"
9042/3,"Sarcoma sinovial, células epitelioides","Synovial sarcoma, epithelioid cell"
9042/31,"Sarcoma sinovial, células epitelioides - grado I, bien diferenciado","Synovial sarcoma, epithelioid cell - grade I, well differentiated"
9042/32,"Sarcoma sinovial, células epitelioides - grado II, moderadamente diferenciado","Synovial sarcoma, epithelioid cell - grade II, moderately differentiated"
9042/33,"Sarcoma sinovial, células epitelioides - grado III, pobremente diferenciado","Synovial sarcoma, epithelioid cell - grade III, poorly differentiated"
9042/34,"Sarcoma sinovial, células epitelioides - grado IV, indiferenciado","Synovial sarcoma, epithelioid cell - grade IV, undifferentiated"
9042/39,"Sarcoma sinovial, células epitelioides - grado o diferenciación sin determinar o sin asignar, o no procede","Synovial sarcoma, epithelioid cell - grade or differentiation not determined or not assigned, or not applicable"
9042/6,"Sarcoma sinovial, células epitelioides, metástasis","Synovial sarcoma, epithelioid cell, metastasis"
9043/3,"Sarcoma sinovial, bifásico","Synovial sarcoma, biphasic"
9043/31,"Sarcoma sinovial, bifásico - grado I, bien diferenciado","Synovial sarcoma, biphasic - grade I, well differentiated"
9043/32,"Sarcoma sinovial, bifásico - grado II, moderadamente diferenciado","Synovial sarcoma, biphasic - grade II, moderately differentiated"
9043/33,"Sarcoma sinovial, bifásico - grado III, pobremente diferenciado","Synovial sarcoma, biphasic - grade III, poorly differentiated"
9043/34,"Sarcoma sinovial, bifásico - grado IV, indiferenciado","Synovial sarcoma, biphasic - grade IV, undifferentiated"
9043/39,"Sarcoma sinovial, bifásico - grado o diferenciación sin determinar o sin asignar, o no procede","Synovial sarcoma, biphasic - grade or differentiation not determined or not assigned, or not applicable"
9043/6,"Sarcoma sinovial, bifásico, metástasis","Synovial sarcoma, biphasic, metastasis"
9044/3,"Sarcoma de células claras, NEOM","Clear cell sarcoma, NOS"
9044/31,"Sarcoma de células claras, NEOM - grado I, bien diferenciado","Clear cell sarcoma, NOS - grade I, well differentiated"
